カラム名,属性,機能,備考
id,整数,記事を識別するID,
title,文字列,投稿記事のタイトル,
body,文字列,記事の内容,
user_id,整数,作成したユーザ,
created_at,日付と時刻,作成日時,
updated_at,日付と時刻,更新日時,
