カラム名,属性,機能,備考
id,整数,フォロワー・被フォロワーの紐付けを識別するID,
follower_id,整数,フォロワーのユーザーID,
followee_id,整数,フォローされている側のユーザーID,
created_at,日付と時刻,作成日時,
updated_at,日付と時刻,更新日時,
