カラム名,属性,機能,備考
id,整数,いいねを識別するID,
user_id,整数,いいねしたユーザーのID,
article_id,整数,いいねされた記事のID,
created_at,日付と時刻,作成日時,
updated_at,日付と時刻,更新日時,
